city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"stationary traffic",,"Rua da Saudade","Alameda Doutor Mariano Felgueiras / Rua dos Cuteleiros (N206)",,Jam,Major,381,219,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Avenida de Londres","Largo Comandante José de Pina (N101)",,Jam,Major,264,348,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Avenida Conde de Margaride / Travessa dos Gaiteiros","Largo Comandante José de Pina (N101)",,Jam,Major,264,155,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Largo Comandante José de Pina (N101)","Rua da Saudade",,Jam,Major,225,283,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Rua De Teixeira De Pascoais (N101)",N101,Jam,Major,381,350,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Rua De Teixeira De Pascoais (N101)","Rua De Cam?es (N101)",N101,Jam,Major,322,138,"2018-10-26 22:47:09.606000"
Guimaraes,"queuing traffic",,"Rua de Alexandre Herculano / Rua Doutor Mário Dias","Rua Doutor Agostinho Barbosa",,Jam,Moderate,415,123,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,249,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Rua do Picoto / Avenida General Humberto Delgado","Alameda da Universidade (N309)",,Jam,Major,440,250,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Rua Capitão Alfredo Guimarães","Rua de São Torcato",N207-4,Jam,Major,559,153,"2018-10-26 22:47:09.606000"
Guimaraes,"stationary traffic",,"Avenida São Gonçalo","Avenida Conde de Margaride",,Jam,Major,205,198,"2018-10-26 22:27:09.613000"
Guimaraes,"stationary traffic",,"Rua dos Cuteleiros (N206)","Avenida Conde Margaride / Largo Comandante José de Pina (N101)",,Jam,Major,340,121,"2018-10-26 19:47:09.558000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Major,850,437,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,615,186,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,N105,"Avenida Conde Margaride / Largo Comandante José de Pina (N101)",,Jam,Major,498,205,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,519,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,381,192,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,"Largo da República do Brasil (N101)",Urgezes,,Jam,Major,712,376,"2018-10-26 19:27:09.403000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,706,105,"2018-10-26 19:27:09.403000"
Guimaraes,"stationary traffic",,"Rua da Saudade","Avenida de Londres",,Jam,Major,381,196,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,"Rua de Santa Eulália (N101) / Rua Doutor José Pinto Rodrigues","Alameda Doutor Mariano Felgueiras / Rua dos Cuteleiros (N206)",,Jam,Major,615,283,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,695,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,381,193,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,"Largo da República do Brasil (N101)",Urgezes,,Jam,Major,557,423,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Major,1084,267,"2018-10-26 19:07:11.787000"
Guimaraes,"stationary traffic",,N105,"Avenida Conde Margaride / Largo Comandante José de Pina (N101)",,Jam,Major,381,134,"2018-10-26 18:47:11.101000"
Guimaraes,"stationary traffic",,"Rua de Santa Eulália (N101) / Rua Doutor José Pinto Rodrigues","Avenida de Londres",,Jam,Major,264,145,"2018-10-26 18:47:11.101000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,512,"2018-10-26 18:47:11.101000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,440,168,"2018-10-26 18:47:11.101000"
Guimaraes,"stationary traffic",,"Largo da República do Brasil (N101)",Urgezes,,Jam,Major,557,284,"2018-10-26 18:47:11.101000"
Guimaraes,"queuing traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Moderate,967,204,"2018-10-26 18:27:11.082000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,733,141,"2018-10-26 18:27:11.082000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,443,"2018-10-26 18:27:11.082000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,440,226,"2018-10-26 18:27:11.082000"
Guimaraes,"stationary traffic",,N101,Urgezes,,Jam,Major,850,481,"2018-10-26 18:27:11.082000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,303,192,"2018-10-26 18:27:11.082000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,840,118,"2018-10-26 18:27:11.082000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,367,"2018-10-26 18:07:11.992000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,371,214,"2018-10-26 18:07:11.992000"
Guimaraes,"stationary traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Major,1143,282,"2018-10-26 18:07:11.992000"
Guimaraes,"stationary traffic",,"Rua Francisco dos Santos Guimarães","Rua Eduardo Manuel de Almeida",,Jam,Major,785,253,"2018-10-26 18:07:11.992000"
Guimaraes,"stationary traffic",,"Largo da República do Brasil (N101)",Urgezes,,Jam,Major,557,293,"2018-10-26 18:07:11.992000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","Rua Reitor Francisco José Ribeiro (N101)",N101,Jam,Major,791,278,"2018-10-26 17:47:13.506000"
Guimaraes,"queuing traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Moderate,1497,229,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"A11, Guimarães Oeste (Acesso A11, Guimarães Oeste)","N206 (Acesso A11, Guimarães Oeste)",,Jam,Major,597,294,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"Silvares (N206)","Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,357,160,"2018-10-26 17:47:13.506000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Oeste (N206)","N105 (N206)",N206,Jam,Moderate,1585,140,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"N105 (N206)","Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,477,130,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"Praceta Rotary Club de Guimarães","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,557,179,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,304,243,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,"N206 (N105)","Rua Eduardo Manuel De Almeida (N105)",N105,Jam,Major,532,99,"2018-10-26 17:47:13.506000"
Guimaraes,"queuing traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Moderate,468,139,"2018-10-26 17:47:13.506000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1143,194,"2018-10-26 17:47:13.506000"
Guimaraes,"stationary traffic",,N105,"Avenida Conde Margaride / Largo Comandante José de Pina (N101)",,Jam,Major,440,127,"2018-10-26 17:27:09.515000"
Guimaraes,"stationary traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Major,434,100,"2018-10-26 17:27:09.515000"
Guimaraes,"stationary traffic",,"Rua Doutor Bento Cardoso / Rua da Liberdade","Largo 25 de Abril (N101)",,Jam,Major,205,185,"2018-10-26 17:27:09.515000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,236,233,"2018-10-26 17:27:09.515000"
